,ToZone,Trips,Hour
214,100538,97.427249,h2
215,100539,122.316918,h2
216,100540,26.765501,h2
217,100541,47.169047,h2
218,100542,11.537244,h2
219,100543,19.450087,h2
220,100544,77.871998,h2
221,100545,117.324387,h2
222,100546,30.813244,h2
223,100547,89.659698,h2
224,100548,154.966273,h2
225,100549,56.270933,h2
226,100550,18.051297,h2
227,100551,4.626234,h2
228,100552,4.585076,h2
229,100553,7.977666,h2
230,100554,39.602628,h2
231,100555,54.65274,h2
232,100556,2.968073,h2
233,100557,65.54596,h2
234,100558,71.963338,h2
235,100559,77.113881,h2
236,100560,3.940703,h2
237,100561,11.543961,h2
238,100562,18.891183,h2
239,100563,116.010236,h2
240,100564,0.815872,h2
241,100565,143.345331,h2
242,100566,65.052758,h2
243,100569,18.986631,h2
244,100570,18.093954,h2
245,100571,3.489693,h2
246,100572,25.62069,h2
247,100573,54.295021,h2
248,100574,69.207661,h2
249,100575,100.606416,h2
250,100576,9.28396,h2
251,100577,15.244912,h2
252,100578,72.515571,h2
253,100579,16.823906,h2
254,100580,87.823632,h2
255,100581,114.202988,h2
256,100582,39.638338,h2
257,100583,10.900787,h2
258,100584,56.116408,h2
259,100585,3.539511,h2
260,100586,41.794515,h2
261,100587,58.051754,h2
262,100598,103.194138,h2
263,100667,59.849189,h2
264,100668,20.429172,h2
265,100669,92.428781,h2
266,100793,12.343108,h2
267,100799,59.622495,h2
268,101258,25.290169,h2
269,101260,78.492155,h2
270,100439,62.600942,h3
271,100505,84.264485,h3
272,100506,40.815282,h3
273,100507,5.537551,h3
274,100508,43.085494,h3
275,100509,135.108674,h3
276,100510,34.582539,h3
277,100511,33.968957,h3
278,100512,38.859948,h3
279,100513,21.949726,h3
280,100514,71.327421,h3
281,100515,39.519758,h3
282,100516,46.19435,h3
283,100517,581.548641,h3
284,100518,341.042956,h3
285,100519,22.715192,h3
286,100520,36.966622,h3
287,100521,46.94374,h3
288,100522,117.604638,h3
289,100523,33.178843,h3
290,100524,21.773097,h3
291,100525,38.272466,h3
292,100526,57.980294,h3
293,100527,66.441054,h3
294,100528,42.250752,h3
295,100529,25.353952,h3
296,100530,39.867039,h3
297,100531,40.311281,h3
298,100532,39.064503,h3
299,100533,76.878226,h3
300,100534,51.034384,h3
301,100535,104.739427,h3
302,100536,78.831854,h3
303,100537,5.364172,h3
304,100538,121.206384,h3
305,100539,62.696665,h3
306,100540,20.462396,h3
307,100541,62.774522,h3
308,100542,10.008304,h3
309,100543,17.31185,h3
310,100544,52.458008,h3
311,100545,87.990979,h3
312,100546,24.375659,h3
313,100547,68.221497,h3
314,100548,188.47189,h3
315,100549,66.182348,h3
316,100550,12.205667,h3
317,100551,2.8613,h3
318,100552,5.390622,h3
319,100553,6.115465,h3
320,100554,21.897882,h3
321,100555,43.715264,h3
322,100556,2.413941,h3
323,100557,42.431881,h3
324,100558,39.863524,h3
325,100559,69.547805,h3
326,100560,2.590258,h3
327,100561,8.899569,h3
328,100562,14.506486,h3
329,100563,88.568047,h3
330,100564,0.772924,h3
331,100565,128.127081,h3
332,100566,47.508192,h3
333,100569,14.770263,h3
334,100570,11.202954,h3
335,100571,2.983211,h3
